,parents,has_nurs,children,housing,finance,social,class,form_complete,form_completed,form_foster,form_incomplete,health_not_recom,health_priority,health_recommended
40,2,3,0,1,0,2,1,1,0,0,0,0,1,0
41,2,3,0,1,0,2,0,1,0,0,0,1,0,0
42,2,3,0,1,0,1,1,1,0,0,0,0,0,1
43,2,3,0,1,0,1,1,1,0,0,0,0,1,0
44,2,3,0,1,0,1,0,1,0,0,0,1,0,0
45,2,3,0,1,1,0,3,1,0,0,0,0,0,1
46,2,3,0,1,1,0,1,1,0,0,0,0,1,0
47,2,3,0,1,1,0,0,1,0,0,0,1,0,0
48,2,3,0,1,1,2,3,1,0,0,0,0,0,1
49,2,3,0,1,1,2,1,1,0,0,0,0,1,0
50,2,3,0,1,1,2,0,1,0,0,0,1,0,0
51,2,3,0,1,1,1,1,1,0,0,0,0,0,1
52,2,3,0,1,1,1,1,1,0,0,0,0,1,0
53,2,3,0,1,1,1,0,1,0,0,0,1,0,0
54,2,3,1,0,0,0,3,1,0,0,0,0,0,1
55,2,3,1,0,0,0,1,1,0,0,0,0,1,0
56,2,3,1,0,0,0,0,1,0,0,0,1,0,0
57,2,3,1,0,0,2,3,1,0,0,0,0,0,1
58,2,3,1,0,0,2,1,1,0,0,0,0,1,0
59,2,3,1,0,0,2,0,1,0,0,0,1,0,0
60,2,3,1,0,0,1,1,1,0,0,0,0,0,1
61,2,3,1,0,0,1,1,1,0,0,0,0,1,0
62,2,3,1,0,0,1,0,1,0,0,0,1,0,0
63,2,3,1,0,1,0,3,1,0,0,0,0,0,1
64,2,3,1,0,1,0,1,1,0,0,0,0,1,0
65,2,3,1,0,1,0,0,1,0,0,0,1,0,0
66,2,3,1,0,1,2,3,1,0,0,0,0,0,1
67,2,3,1,0,1,2,1,1,0,0,0,0,1,0
68,2,3,1,0,1,2,0,1,0,0,0,1,0,0
69,2,3,1,0,1,1,1,1,0,0,0,0,0,1
70,2,3,1,0,1,1,1,1,0,0,0,0,1,0
71,2,3,1,0,1,1,0,1,0,0,0,1,0,0
72,2,3,1,2,0,0,3,1,0,0,0,0,0,1
73,2,3,1,2,0,0,1,1,0,0,0,0,1,0
74,2,3,1,2,0,0,0,1,0,0,0,1,0,0
75,2,3,1,2,0,2,3,1,0,0,0,0,0,1
76,2,3,1,2,0,2,1,1,0,0,0,0,1,0
77,2,3,1,2,0,2,0,1,0,0,0,1,0,0
78,2,3,1,2,0,1,1,1,0,0,0,0,0,1
79,2,3,1,2,0,1,1,1,0,0,0,0,1,0
80,2,3,1,2,0,1,0,1,0,0,0,1,0,0
81,2,3,1,2,1,0,3,1,0,0,0,0,0,1
82,2,3,1,2,1,0,1,1,0,0,0,0,1,0
83,2,3,1,2,1,0,0,1,0,0,0,1,0,0
84,2,3,1,2,1,2,3,1,0,0,0,0,0,1
85,2,3,1,2,1,2,1,1,0,0,0,0,1,0
86,2,3,1,2,1,2,0,1,0,0,0,1,0,0
87,2,3,1,2,1,1,1,1,0,0,0,0,0,1
88,2,3,1,2,1,1,1,1,0,0,0,0,1,0
89,2,3,1,2,1,1,0,1,0,0,0,1,0,0
90,2,3,1,1,0,0,1,1,0,0,0,0,0,1
91,2,3,1,1,0,0,1,1,0,0,0,0,1,0
92,2,3,1,1,0,0,0,1,0,0,0,1,0,0
93,2,3,1,1,0,2,1,1,0,0,0,0,0,1
94,2,3,1,1,0,2,1,1,0,0,0,0,1,0
95,2,3,1,1,0,2,0,1,0,0,0,1,0,0
96,2,3,1,1,0,1,1,1,0,0,0,0,0,1
97,2,3,1,1,0,1,1,1,0,0,0,0,1,0
98,2,3,1,1,0,1,0,1,0,0,0,1,0,0
99,2,3,1,1,1,0,1,1,0,0,0,0,0,1
100,2,3,1,1,1,0,1,1,0,0,0,0,1,0
101,2,3,1,1,1,0,0,1,0,0,0,1,0,0
102,2,3,1,1,1,2,1,1,0,0,0,0,0,1
103,2,3,1,1,1,2,1,1,0,0,0,0,1,0
104,2,3,1,1,1,2,0,1,0,0,0,1,0,0
105,2,3,1,1,1,1,1,1,0,0,0,0,0,1
106,2,3,1,1,1,1,1,1,0,0,0,0,1,0
107,2,3,1,1,1,1,0,1,0,0,0,1,0,0
108,2,3,2,0,0,0,3,1,0,0,0,0,0,1
109,2,3,2,0,0,0,1,1,0,0,0,0,1,0
110,2,3,2,0,0,0,0,1,0,0,0,1,0,0
111,2,3,2,0,0,2,3,1,0,0,0,0,0,1
112,2,3,2,0,0,2,1,1,0,0,0,0,1,0
113,2,3,2,0,0,2,0,1,0,0,0,1,0,0
114,2,3,2,0,0,1,1,1,0,0,0,0,0,1
115,2,3,2,0,0,1,1,1,0,0,0,0,1,0
116,2,3,2,0,0,1,0,1,0,0,0,1,0,0
117,2,3,2,0,1,0,1,1,0,0,0,0,0,1
118,2,3,2,0,1,0,1,1,0,0,0,0,1,0
119,2,3,2,0,1,0,0,1,0,0,0,1,0,0
120,2,3,2,0,1,2,1,1,0,0,0,0,0,1
121,2,3,2,0,1,2,1,1,0,0,0,0,1,0
122,2,3,2,0,1,2,0,1,0,0,0,1,0,0
123,2,3,2,0,1,1,1,1,0,0,0,0,0,1
124,2,3,2,0,1,1,1,1,0,0,0,0,1,0
125,2,3,2,0,1,1,0,1,0,0,0,1,0,0
126,2,3,2,2,0,0,1,1,0,0,0,0,0,1
127,2,3,2,2,0,0,1,1,0,0,0,0,1,0
128,2,3,2,2,0,0,0,1,0,0,0,1,0,0
129,2,3,2,2,0,2,1,1,0,0,0,0,0,1
130,2,3,2,2,0,2,1,1,0,0,0,0,1,0
131,2,3,2,2,0,2,0,1,0,0,0,1,0,0
132,2,3,2,2,0,1,1,1,0,0,0,0,0,1
133,2,3,2,2,0,1,1,1,0,0,0,0,1,0
134,2,3,2,2,0,1,0,1,0,0,0,1,0,0
135,2,3,2,2,1,0,1,1,0,0,0,0,0,1
136,2,3,2,2,1,0,1,1,0,0,0,0,1,0
137,2,3,2,2,1,0,0,1,0,0,0,1,0,0
138,2,3,2,2,1,2,1,1,0,0,0,0,0,1
139,2,3,2,2,1,2,1,1,0,0,0,0,1,0
140,2,3,2,2,1,2,0,1,0,0,0,1,0,0
141,2,3,2,2,1,1,1,1,0,0,0,0,0,1
142,2,3,2,2,1,1,1,1,0,0,0,0,1,0
143,2,3,2,2,1,1,0,1,0,0,0,1,0,0
144,2,3,2,1,0,0,1,1,0,0,0,0,0,1
145,2,3,2,1,0,0,1,1,0,0,0,0,1,0
146,2,3,2,1,0,0,0,1,0,0,0,1,0,0
147,2,3,2,1,0,2,1,1,0,0,0,0,0,1
148,2,3,2,1,0,2,1,1,0,0,0,0,1,0
149,2,3,2,1,0,2,0,1,0,0,0,1,0,0
150,2,3,2,1,0,1,1,1,0,0,0,0,0,1
151,2,3,2,1,0,1,1,1,0,0,0,0,1,0
152,2,3,2,1,0,1,0,1,0,0,0,1,0,0
153,2,3,2,1,1,0,1,1,0,0,0,0,0,1
154,2,3,2,1,1,0,1,1,0,0,0,0,1,0
155,2,3,2,1,1,0,0,1,0,0,0,1,0,0
156,2,3,2,1,1,2,1,1,0,0,0,0,0,1
157,2,3,2,1,1,2,1,1,0,0,0,0,1,0
158,2,3,2,1,1,2,0,1,0,0,0,1,0,0
159,2,3,2,1,1,1,1,1,0,0,0,0,0,1
160,2,3,2,1,1,1,1,1,0,0,0,0,1,0
161,2,3,2,1,1,1,0,1,0,0,0,1,0,0
162,2,3,3,0,0,0,3,1,0,0,0,0,0,1
163,2,3,3,0,0,0,1,1,0,0,0,0,1,0
164,2,3,3,0,0,0,0,1,0,0,0,1,0,0
165,2,3,3,0,0,2,3,1,0,0,0,0,0,1
166,2,3,3,0,0,2,1,1,0,0,0,0,1,0
167,2,3,3,0,0,2,0,1,0,0,0,1,0,0
168,2,3,3,0,0,1,1,1,0,0,0,0,0,1
169,2,3,3,0,0,1,1,1,0,0,0,0,1,0
170,2,3,3,0,0,1,0,1,0,0,0,1,0,0
171,2,3,3,0,1,0,1,1,0,0,0,0,0,1
172,2,3,3,0,1,0,1,1,0,0,0,0,1,0
173,2,3,3,0,1,0,0,1,0,0,0,1,0,0
174,2,3,3,0,1,2,1,1,0,0,0,0,0,1
175,2,3,3,0,1,2,1,1,0,0,0,0,1,0
176,2,3,3,0,1,2,0,1,0,0,0,1,0,0
177,2,3,3,0,1,1,1,1,0,0,0,0,0,1
178,2,3,3,0,1,1,1,1,0,0,0,0,1,0
179,2,3,3,0,1,1,0,1,0,0,0,1,0,0
180,2,3,3,2,0,0,1,1,0,0,0,0,0,1
181,2,3,3,2,0,0,1,1,0,0,0,0,1,0
182,2,3,3,2,0,0,0,1,0,0,0,1,0,0
183,2,3,3,2,0,2,1,1,0,0,0,0,0,1
184,2,3,3,2,0,2,1,1,0,0,0,0,1,0
185,2,3,3,2,0,2,0,1,0,0,0,1,0,0
186,2,3,3,2,0,1,1,1,0,0,0,0,0,1
187,2,3,3,2,0,1,1,1,0,0,0,0,1,0
188,2,3,3,2,0,1,0,1,0,0,0,1,0,0
189,2,3,3,2,1,0,1,1,0,0,0,0,0,1
190,2,3,3,2,1,0,1,1,0,0,0,0,1,0
191,2,3,3,2,1,0,0,1,0,0,0,1,0,0
192,2,3,3,2,1,2,1,1,0,0,0,0,0,1
193,2,3,3,2,1,2,1,1,0,0,0,0,1,0
194,2,3,3,2,1,2,0,1,0,0,0,1,0,0
195,2,3,3,2,1,1,1,1,0,0,0,0,0,1
196,2,3,3,2,1,1,1,1,0,0,0,0,1,0
197,2,3,3,2,1,1,0,1,0,0,0,1,0,0
198,2,3,3,1,0,0,1,1,0,0,0,0,0,1
199,2,3,3,1,0,0,1,1,0,0,0,0,1,0
200,2,3,3,1,0,0,0,1,0,0,0,1,0,0
201,2,3,3,1,0,2,1,1,0,0,0,0,0,1
202,2,3,3,1,0,2,1,1,0,0,0,0,1,0
203,2,3,3,1,0,2,0,1,0,0,0,1,0,0
204,2,3,3,1,0,1,1,1,0,0,0,0,0,1
205,2,3,3,1,0,1,1,1,0,0,0,0,1,0
206,2,3,3,1,0,1,0,1,0,0,0,1,0,0
207,2,3,3,1,1,0,1,1,0,0,0,0,0,1
208,2,3,3,1,1,0,1,1,0,0,0,0,1,0
209,2,3,3,1,1,0,0,1,0,0,0,1,0,0
210,2,3,3,1,1,2,1,1,0,0,0,0,0,1
211,2,3,3,1,1,2,1,1,0,0,0,0,1,0
212,2,3,3,1,1,2,0,1,0,0,0,1,0,0
213,2,3,3,1,1,1,1,1,0,0,0,0,0,1
214,2,3,3,1,1,1,1,1,0,0,0,0,1,0
215,2,3,3,1,1,1,0,1,0,0,0,1,0,0
216,2,3,0,0,0,0,3,0,1,0,0,0,0,1
217,2,3,0,0,0,0,1,0,1,0,0,0,1,0
218,2,3,0,0,0,0,0,0,1,0,0,1,0,0
219,2,3,0,0,0,2,3,0,1,0,0,0,0,1
220,2,3,0,0,0,2,1,0,1,0,0,0,1,0
221,2,3,0,0,0,2,0,0,1,0,0,1,0,0
222,2,3,0,0,0,1,1,0,1,0,0,0,0,1
223,2,3,0,0,0,1,1,0,1,0,0,0,1,0
224,2,3,0,0,0,1,0,0,1,0,0,1,0,0
225,2,3,0,0,1,0,3,0,1,0,0,0,0,1
226,2,3,0,0,1,0,1,0,1,0,0,0,1,0
227,2,3,0,0,1,0,0,0,1,0,0,1,0,0
228,2,3,0,0,1,2,3,0,1,0,0,0,0,1
229,2,3,0,0,1,2,1,0,1,0,0,0,1,0
230,2,3,0,0,1,2,0,0,1,0,0,1,0,0
231,2,3,0,0,1,1,1,0,1,0,0,0,0,1
232,2,3,0,0,1,1,1,0,1,0,0,0,1,0
233,2,3,0,0,1,1,0,0,1,0,0,1,0,0
234,2,3,0,2,0,0,3,0,1,0,0,0,0,1
235,2,3,0,2,0,0,1,0,1,0,0,0,1,0
236,2,3,0,2,0,0,0,0,1,0,0,1,0,0
237,2,3,0,2,0,2,3,0,1,0,0,0,0,1
238,2,3,0,2,0,2,1,0,1,0,0,0,1,0
239,2,3,0,2,0,2,0,0,1,0,0,1,0,0
240,2,3,0,2,0,1,1,0,1,0,0,0,0,1
241,2,3,0,2,0,1,1,0,1,0,0,0,1,0
242,2,3,0,2,0,1,0,0,1,0,0,1,0,0
243,2,3,0,2,1,0,3,0,1,0,0,0,0,1
244,2,3,0,2,1,0,1,0,1,0,0,0,1,0
245,2,3,0,2,1,0,0,0,1,0,0,1,0,0
246,2,3,0,2,1,2,3,0,1,0,0,0,0,1
247,2,3,0,2,1,2,1,0,1,0,0,0,1,0
248,2,3,0,2,1,2,0,0,1,0,0,1,0,0
249,2,3,0,2,1,1,1,0,1,0,0,0,0,1
250,2,3,0,2,1,1,1,0,1,0,0,0,1,0
251,2,3,0,2,1,1,0,0,1,0,0,1,0,0
252,2,3,0,1,0,0,1,0,1,0,0,0,0,1
253,2,3,0,1,0,0,1,0,1,0,0,0,1,0
254,2,3,0,1,0,0,0,0,1,0,0,1,0,0
255,2,3,0,1,0,2,1,0,1,0,0,0,0,1
256,2,3,0,1,0,2,1,0,1,0,0,0,1,0
257,2,3,0,1,0,2,0,0,1,0,0,1,0,0
258,2,3,0,1,0,1,1,0,1,0,0,0,0,1
259,2,3,0,1,0,1,1,0,1,0,0,0,1,0
260,2,3,0,1,0,1,0,0,1,0,0,1,0,0
261,2,3,0,1,1,0,1,0,1,0,0,0,0,1
262,2,3,0,1,1,0,1,0,1,0,0,0,1,0
263,2,3,0,1,1,0,0,0,1,0,0,1,0,0
264,2,3,0,1,1,2,1,0,1,0,0,0,0,1
265,2,3,0,1,1,2,1,0,1,0,0,0,1,0
266,2,3,0,1,1,2,0,0,1,0,0,1,0,0
267,2,3,0,1,1,1,1,0,1,0,0,0,0,1
268,2,3,0,1,1,1,1,0,1,0,0,0,1,0
269,2,3,0,1,1,1,0,0,1,0,0,1,0,0
270,2,3,1,0,0,0,3,0,1,0,0,0,0,1
271,2,3,1,0,0,0,1,0,1,0,0,0,1,0
272,2,3,1,0,0,0,0,0,1,0,0,1,0,0
273,2,3,1,0,0,2,3,0,1,0,0,0,0,1
274,2,3,1,0,0,2,1,0,1,0,0,0,1,0
275,2,3,1,0,0,2,0,0,1,0,0,1,0,0
276,2,3,1,0,0,1,1,0,1,0,0,0,0,1
277,2,3,1,0,0,1,1,0,1,0,0,0,1,0
278,2,3,1,0,0,1,0,0,1,0,0,1,0,0
279,2,3,1,0,1,0,3,0,1,0,0,0,0,1
280,2,3,1,0,1,0,1,0,1,0,0,0,1,0
281,2,3,1,0,1,0,0,0,1,0,0,1,0,0
282,2,3,1,0,1,2,3,0,1,0,0,0,0,1
283,2,3,1,0,1,2,1,0,1,0,0,0,1,0
284,2,3,1,0,1,2,0,0,1,0,0,1,0,0
285,2,3,1,0,1,1,1,0,1,0,0,0,0,1
286,2,3,1,0,1,1,1,0,1,0,0,0,1,0
287,2,3,1,0,1,1,0,0,1,0,0,1,0,0
288,2,3,1,2,0,0,3,0,1,0,0,0,0,1
289,2,3,1,2,0,0,1,0,1,0,0,0,1,0
290,2,3,1,2,0,0,0,0,1,0,0,1,0,0
291,2,3,1,2,0,2,3,0,1,0,0,0,0,1
292,2,3,1,2,0,2,1,0,1,0,0,0,1,0
293,2,3,1,2,0,2,0,0,1,0,0,1,0,0
294,2,3,1,2,0,1,1,0,1,0,0,0,0,1
295,2,3,1,2,0,1,1,0,1,0,0,0,1,0
296,2,3,1,2,0,1,0,0,1,0,0,1,0,0
297,2,3,1,2,1,0,3,0,1,0,0,0,0,1
298,2,3,1,2,1,0,1,0,1,0,0,0,1,0
299,2,3,1,2,1,0,0,0,1,0,0,1,0,0
300,2,3,1,2,1,2,3,0,1,0,0,0,0,1
301,2,3,1,2,1,2,1,0,1,0,0,0,1,0
302,2,3,1,2,1,2,0,0,1,0,0,1,0,0
303,2,3,1,2,1,1,1,0,1,0,0,0,0,1
304,2,3,1,2,1,1,1,0,1,0,0,0,1,0
305,2,3,1,2,1,1,0,0,1,0,0,1,0,0
306,2,3,1,1,0,0,1,0,1,0,0,0,0,1
307,2,3,1,1,0,0,1,0,1,0,0,0,1,0
308,2,3,1,1,0,0,0,0,1,0,0,1,0,0
309,2,3,1,1,0,2,1,0,1,0,0,0,0,1
310,2,3,1,1,0,2,1,0,1,0,0,0,1,0
311,2,3,1,1,0,2,0,0,1,0,0,1,0,0
312,2,3,1,1,0,1,1,0,1,0,0,0,0,1
313,2,3,1,1,0,1,1,0,1,0,0,0,1,0
314,2,3,1,1,0,1,0,0,1,0,0,1,0,0
315,2,3,1,1,1,0,1,0,1,0,0,0,0,1
316,2,3,1,1,1,0,1,0,1,0,0,0,1,0
317,2,3,1,1,1,0,0,0,1,0,0,1,0,0
318,2,3,1,1,1,2,1,0,1,0,0,0,0,1
319,2,3,1,1,1,2,1,0,1,0,0,0,1,0
320,2,3,1,1,1,2,0,0,1,0,0,1,0,0
321,2,3,1,1,1,1,1,0,1,0,0,0,0,1
322,2,3,1,1,1,1,1,0,1,0,0,0,1,0
323,2,3,1,1,1,1,0,0,1,0,0,1,0,0
324,2,3,2,0,0,0,3,0,1,0,0,0,0,1
325,2,3,2,0,0,0,1,0,1,0,0,0,1,0
326,2,3,2,0,0,0,0,0,1,0,0,1,0,0
327,2,3,2,0,0,2,3,0,1,0,0,0,0,1
328,2,3,2,0,0,2,1,0,1,0,0,0,1,0
329,2,3,2,0,0,2,0,0,1,0,0,1,0,0
330,2,3,2,0,0,1,1,0,1,0,0,0,0,1
331,2,3,2,0,0,1,1,0,1,0,0,0,1,0
332,2,3,2,0,0,1,0,0,1,0,0,1,0,0
333,2,3,2,0,1,0,1,0,1,0,0,0,0,1
334,2,3,2,0,1,0,1,0,1,0,0,0,1,0
335,2,3,2,0,1,0,0,0,1,0,0,1,0,0
336,2,3,2,0,1,2,1,0,1,0,0,0,0,1
337,2,3,2,0,1,2,1,0,1,0,0,0,1,0
338,2,3,2,0,1,2,0,0,1,0,0,1,0,0
339,2,3,2,0,1,1,1,0,1,0,0,0,0,1
340,2,3,2,0,1,1,1,0,1,0,0,0,1,0
341,2,3,2,0,1,1,0,0,1,0,0,1,0,0
342,2,3,2,2,0,0,1,0,1,0,0,0,0,1
343,2,3,2,2,0,0,1,0,1,0,0,0,1,0
344,2,3,2,2,0,0,0,0,1,0,0,1,0,0
345,2,3,2,2,0,2,1,0,1,0,0,0,0,1
346,2,3,2,2,0,2,1,0,1,0,0,0,1,0
347,2,3,2,2,0,2,0,0,1,0,0,1,0,0
348,2,3,2,2,0,1,1,0,1,0,0,0,0,1
349,2,3,2,2,0,1,1,0,1,0,0,0,1,0
350,2,3,2,2,0,1,0,0,1,0,0,1,0,0
351,2,3,2,2,1,0,1,0,1,0,0,0,0,1
352,2,3,2,2,1,0,1,0,1,0,0,0,1,0
353,2,3,2,2,1,0,0,0,1,0,0,1,0,0
354,2,3,2,2,1,2,1,0,1,0,0,0,0,1
355,2,3,2,2,1,2,1,0,1,0,0,0,1,0
356,2,3,2,2,1,2,0,0,1,0,0,1,0,0
357,2,3,2,2,1,1,1,0,1,0,0,0,0,1
358,2,3,2,2,1,1,1,0,1,0,0,0,1,0
359,2,3,2,2,1,1,0,0,1,0,0,1,0,0
360,2,3,2,1,0,0,1,0,1,0,0,0,0,1
361,2,3,2,1,0,0,1,0,1,0,0,0,1,0
362,2,3,2,1,0,0,0,0,1,0,0,1,0,0
363,2,3,2,1,0,2,1,0,1,0,0,0,0,1
364,2,3,2,1,0,2,1,0,1,0,0,0,1,0
365,2,3,2,1,0,2,0,0,1,0,0,1,0,0
366,2,3,2,1,0,1,1,0,1,0,0,0,0,1
367,2,3,2,1,0,1,1,0,1,0,0,0,1,0
368,2,3,2,1,0,1,0,0,1,0,0,1,0,0
369,2,3,2,1,1,0,1,0,1,0,0,0,0,1
370,2,3,2,1,1,0,1,0,1,0,0,0,1,0
371,2,3,2,1,1,0,0,0,1,0,0,1,0,0
372,2,3,2,1,1,2,1,0,1,0,0,0,0,1
373,2,3,2,1,1,2,1,0,1,0,0,0,1,0
374,2,3,2,1,1,2,0,0,1,0,0,1,0,0
375,2,3,2,1,1,1,1,0,1,0,0,0,0,1
376,2,3,2,1,1,1,1,0,1,0,0,0,1,0
377,2,3,2,1,1,1,0,0,1,0,0,1,0,0
378,2,3,3,0,0,0,3,0,1,0,0,0,0,1
379,2,3,3,0,0,0,1,0,1,0,0,0,1,0
380,2,3,3,0,0,0,0,0,1,0,0,1,0,0
381,2,3,3,0,0,2,3,0,1,0,0,0,0,1
382,2,3,3,0,0,2,1,0,1,0,0,0,1,0
383,2,3,3,0,0,2,0,0,1,0,0,1,0,0
384,2,3,3,0,0,1,1,0,1,0,0,0,0,1
385,2,3,3,0,0,1,1,0,1,0,0,0,1,0
386,2,3,3,0,0,1,0,0,1,0,0,1,0,0
387,2,3,3,0,1,0,1,0,1,0,0,0,0,1
388,2,3,3,0,1,0,1,0,1,0,0,0,1,0
389,2,3,3,0,1,0,0,0,1,0,0,1,0,0
390,2,3,3,0,1,2,1,0,1,0,0,0,0,1
391,2,3,3,0,1,2,1,0,1,0,0,0,1,0
392,2,3,3,0,1,2,0,0,1,0,0,1,0,0
393,2,3,3,0,1,1,1,0,1,0,0,0,0,1
394,2,3,3,0,1,1,1,0,1,0,0,0,1,0
395,2,3,3,0,1,1,0,0,1,0,0,1,0,0
396,2,3,3,2,0,0,1,0,1,0,0,0,0,1
397,2,3,3,2,0,0,1,0,1,0,0,0,1,0
398,2,3,3,2,0,0,0,0,1,0,0,1,0,0
399,2,3,3,2,0,2,1,0,1,0,0,0,0,1
400,2,3,3,2,0,2,1,0,1,0,0,0,1,0
401,2,3,3,2,0,2,0,0,1,0,0,1,0,0
402,2,3,3,2,0,1,1,0,1,0,0,0,0,1
403,2,3,3,2,0,1,1,0,1,0,0,0,1,0
404,2,3,3,2,0,1,0,0,1,0,0,1,0,0
405,2,3,3,2,1,0,1,0,1,0,0,0,0,1
406,2,3,3,2,1,0,1,0,1,0,0,0,1,0
407,2,3,3,2,1,0,0,0,1,0,0,1,0,0
408,2,3,3,2,1,2,1,0,1,0,0,0,0,1
409,2,3,3,2,1,2,1,0,1,0,0,0,1,0
410,2,3,3,2,1,2,0,0,1,0,0,1,0,0
411,2,3,3,2,1,1,1,0,1,0,0,0,0,1
412,2,3,3,2,1,1,1,0,1,0,0,0,1,0
413,2,3,3,2,1,1,0,0,1,0,0,1,0,0
414,2,3,3,1,0,0,1,0,1,0,0,0,0,1
415,2,3,3,1,0,0,1,0,1,0,0,0,1,0
416,2,3,3,1,0,0,0,0,1,0,0,1,0,0
417,2,3,3,1,0,2,1,0,1,0,0,0,0,1
418,2,3,3,1,0,2,1,0,1,0,0,0,1,0
419,2,3,3,1,0,2,0,0,1,0,0,1,0,0
420,2,3,3,1,0,1,1,0,1,0,0,0,0,1
421,2,3,3,1,0,1,1,0,1,0,0,0,1,0
422,2,3,3,1,0,1,0,0,1,0,0,1,0,0
423,2,3,3,1,1,0,1,0,1,0,0,0,0,1
424,2,3,3,1,1,0,1,0,1,0,0,0,1,0
425,2,3,3,1,1,0,0,0,1,0,0,1,0,0
426,2,3,3,1,1,2,1,0,1,0,0,0,0,1
427,2,3,3,1,1,2,1,0,1,0,0,0,1,0
428,2,3,3,1,1,2,0,0,1,0,0,1,0,0
429,2,3,3,1,1,1,1,0,1,0,0,0,0,1
430,2,3,3,1,1,1,1,0,1,0,0,0,1,0
431,2,3,3,1,1,1,0,0,1,0,0,1,0,0
432,2,3,0,0,0,0,3,0,0,0,1,0,0,1
433,2,3,0,0,0,0,1,0,0,0,1,0,1,0
434,2,3,0,0,0,0,0,0,0,0,1,1,0,0
435,2,3,0,0,0,2,3,0,0,0,1,0,0,1
436,2,3,0,0,0,2,1,0,0,0,1,0,1,0
437,2,3,0,0,0,2,0,0,0,0,1,1,0,0
438,2,3,0,0,0,1,1,0,0,0,1,0,0,1
439,2,3,0,0,0,1,1,0,0,0,1,0,1,0
440,2,3,0,0,0,1,0,0,0,0,1,1,0,0
441,2,3,0,0,1,0,3,0,0,0,1,0,0,1
442,2,3,0,0,1,0,1,0,0,0,1,0,1,0
443,2,3,0,0,1,0,0,0,0,0,1,1,0,0
444,2,3,0,0,1,2,3,0,0,0,1,0,0,1
445,2,3,0,0,1,2,1,0,0,0,1,0,1,0
446,2,3,0,0,1,2,0,0,0,0,1,1,0,0
447,2,3,0,0,1,1,1,0,0,0,1,0,0,1
448,2,3,0,0,1,1,1,0,0,0,1,0,1,0
449,2,3,0,0,1,1,0,0,0,0,1,1,0,0
450,2,3,0,2,0,0,3,0,0,0,1,0,0,1
451,2,3,0,2,0,0,1,0,0,0,1,0,1,0
452,2,3,0,2,0,0,0,0,0,0,1,1,0,0
453,2,3,0,2,0,2,3,0,0,0,1,0,0,1
454,2,3,0,2,0,2,1,0,0,0,1,0,1,0
455,2,3,0,2,0,2,0,0,0,0,1,1,0,0
456,2,3,0,2,0,1,1,0,0,0,1,0,0,1
457,2,3,0,2,0,1,1,0,0,0,1,0,1,0
458,2,3,0,2,0,1,0,0,0,0,1,1,0,0
459,2,3,0,2,1,0,3,0,0,0,1,0,0,1
460,2,3,0,2,1,0,1,0,0,0,1,0,1,0
461,2,3,0,2,1,0,0,0,0,0,1,1,0,0
462,2,3,0,2,1,2,3,0,0,0,1,0,0,1
463,2,3,0,2,1,2,1,0,0,0,1,0,1,0
